cue_index,memory_seed,target,rho,mask_index,method,alpha,category,converged,convergence_step,stable,stability_radius,final_top_memory,final_max_weight,final_ipr,final_support_size,level,target_ipr
14.0,0.0,14.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
16.0,0.0,16.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
17.0,0.0,17.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
18.0,0.0,18.0,0.1,0.0,softmax,5.0,stable_mixture,True,14,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
24.0,0.0,24.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
27.0,0.0,27.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
28.0,0.0,28.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
32.0,0.0,32.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
39.0,0.0,39.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787068,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
41.0,0.0,41.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
49.0,0.0,49.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787068,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
54.0,0.0,54.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
57.0,0.0,57.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
