condition_index,condition_id,seed,delta,v_index,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
21,delta+0.00_seed005,5,0.0,3,-0.15,0.4974888109281892,0.9995548986909586,-0.0298329432491623,1
21,delta+0.00_seed005,5,0.0,4,-0.1,0.4989043528476031,0.9997308301148354,-0.0232005887404178,1
21,delta+0.00_seed005,5,0.0,5,-0.05,0.4998094944603508,0.9999399832709108,-0.0109558138068748,1
21,delta+0.00_seed005,5,0.0,6,0.0,0.4999999999854481,0.9999927416068998,-0.0038100831377014,1
21,delta+0.00_seed005,5,0.0,7,0.0499999999999999,0.5001905055396492,0.9999399832677224,-0.0109558140978607,1
21,delta+0.00_seed005,5,0.0,8,0.0999999999999999,0.5010956471523969,0.9997308301148354,-0.0232005887404178,1
21,delta+0.00_seed005,5,0.0,9,0.1499999999999999,0.5025111890718108,0.9995548986909586,-0.0298329432491623,1
21,delta+0.00_seed005,5,0.0,10,0.1999999999999999,0.5040802699368214,0.9995141493521076,-0.0311683372179687,1
21,delta+0.00_seed005,5,0.0,11,0.2499999999999999,0.5056295378453797,0.999543035951608,-0.0302277898735967,1
21,delta+0.00_seed005,5,0.0,12,0.3,0.5071044308569981,0.9995652218334004,-0.0294850352067776,1
22,delta+0.00_seed006,6,0.0,0,-0.3,0.5086846874182811,0.998552063334246,0.0537938361796172,1
22,delta+0.00_seed006,6,0.0,1,-0.25,0.5059910954587394,0.998720481620224,0.0505707384983477,1
22,delta+0.00_seed006,6,0.0,2,-0.2,0.5036211346596247,0.9991000551157248,0.042415561622542,1
22,delta+0.00_seed006,6,0.0,3,-0.15,0.5017457186913816,0.9995294847836784,0.0306726107150063,1
22,delta+0.00_seed006,6,0.0,4,-0.1,0.5005524297157535,0.9998592043393644,0.0167800923076527,1
22,delta+0.00_seed006,6,0.0,5,-0.05,0.5000674731709296,0.9999847414188971,0.005524213010116,1
22,delta+0.00_seed006,6,0.0,6,0.0,0.4999999999854481,0.9999990894754844,0.0013494621898722,1
22,delta+0.00_seed006,6,0.0,7,0.0499999999999999,0.4999325268290704,0.999984741420505,0.005524212719091,1
22,delta+0.00_seed006,6,0.0,8,0.0999999999999999,0.4994475702842464,0.9998592043393644,0.0167800923076527,1
22,delta+0.00_seed006,6,0.0,9,0.1499999999999999,0.4982542813086184,0.9995294847836784,0.0306726107150063,1
22,delta+0.00_seed006,6,0.0,10,0.1999999999999999,0.4963788653403753,0.9991000551157248,0.042415561622542,1
22,delta+0.00_seed006,6,0.0,11,0.2499999999999999,0.4940089045412605,0.998720481620224,0.0505707384983477,1
22,delta+0.00_seed006,6,0.0,12,0.3,0.4913153125817189,0.998552063334246,0.0537938361796172,1
23,delta+0.00_seed007,7,0.0,0,-0.3,0.5068108990526525,0.9990681390774978,0.0431607863717205,1
23,delta+0.00_seed007,7,0.0,1,-0.25,0.504650846865843,0.999201514123483,0.0399541508899781,1
23,delta+0.00_seed007,7,0.0,2,-0.2,0.5028122911317041,0.9994682369648236,0.0326074117100229,1
23,delta+0.00_seed007,7,0.0,3,-0.15,0.5013883708306821,0.9997255775664284,0.0234258310305365,1
23,delta+0.00_seed007,7,0.0,4,-0.1,0.5004690649948316,0.9999122942971458,0.0132440066980496,1
23,delta+0.00_seed007,7,0.0,5,-0.05,0.500063853993197,0.9999889990823816,0.0046905984923795,1
23,delta+0.00_seed007,7,0.0,6,0.0,0.4999999999854481,0.999999184534508,0.0012770788225248,1
23,delta+0.00_seed007,7,0.0,7,0.0499999999999999,0.499936146006803,0.9999889990837466,0.0046905982013508,1
23,delta+0.00_seed007,7,0.0,8,0.0999999999999999,0.4995309350051684,0.9999122942971458,0.0132440066980496,1
23,delta+0.00_seed007,7,0.0,9,0.1499999999999999,0.4986116291693179,0.9997255775664284,0.0234258310305365,1
23,delta+0.00_seed007,7,0.0,10,0.1999999999999999,0.4971877088682959,0.9994682369648236,0.0326074117100229,1
23,delta+0.00_seed007,7,0.0,11,0.2499999999999999,0.4953491531341569,0.999201514123483,0.0399541508899781,1
23,delta+0.00_seed007,7,0.0,12,0.3,0.4931891009473474,0.9990681390774978,0.0431607863717205,1
24,delta+0.15_seed000,0,0.15,0,-0.3,0.5624404341069749,0.9856834753730356,0.1686063058623097,1
24,delta+0.15_seed000,0,0.15,1,-0.25,0.553887672998826,0.9861047567173112,0.1661246784180245,1
24,delta+0.15_seed000,0,0.15,2,-0.2,0.5455938792874804,0.9877655414965296,0.1559462568709734,1
24,delta+0.15_seed000,0,0.15,3,-0.15,0.5380998923646985,0.9908992153024364,0.1346058881067831,1
24,delta+0.15_seed000,0,0.15,4,-0.1,0.5320096634532092,0.994956171257176,0.1003106040120426,1
24,delta+0.15_seed000,0,0.15,5,-0.05,0.5280179805267835,0.9985822726401078,0.0532301114869938,1
24,delta+0.15_seed000,0,0.15,6,0.0,0.5266790950117866,0.9999969218492516,0.0024811876232784,1
24,delta+0.15_seed000,0,0.15,7,0.0499999999999999,0.5277698610007064,0.999294505758679,-0.0375565009088673,1
24,delta+0.15_seed000,0,0.15,8,0.0999999999999999,0.5304373965627747,0.997975017713958,-0.0636071066691824,1
24,delta+0.15_seed000,0,0.15,9,0.1499999999999999,0.5341434781294083,0.9966792004392112,-0.0814283206989711,1
24,delta+0.15_seed000,0,0.15,10,0.1999999999999999,0.5386073594418122,0.9956350899333292,-0.0933314935777388,1
24,delta+0.15_seed000,0,0.15,11,0.2499999999999999,0.5435175444436027,0.9948174024146688,-0.1016776074311891,1
24,delta+0.15_seed000,0,0.15,12,0.3,0.5488280901190592,0.9944068975176672,-0.1056168649851316,1
25,delta+0.15_seed001,1,0.15,0,-0.3,0.5595578615466366,0.9895557796793388,0.1441504731286582,1
25,delta+0.15_seed001,1,0.15,1,-0.25,0.5522742664179532,0.9897958299504408,0.1424928595148463,1
25,delta+0.15_seed001,1,0.15,2,-0.2,0.5451616744539933,0.9905972156431782,0.1368106587952224,1
25,delta+0.15_seed001,1,0.15,3,-0.15,0.5384633393696276,0.9921869207417928,0.1247602272718315,1
25,delta+0.15_seed001,1,0.15,4,-0.1,0.5325874079862842,0.994873145066878,0.1011307333343276,1
25,delta+0.15_seed001,1,0.15,5,-0.05,0.5282981505879434,0.9982591483112088,0.0589802747787802,1
25,delta+0.15_seed001,1,0.15,6,0.0,0.5266790950117866,0.9999999073867184,0.0004303795469019,1
25,delta+0.15_seed001,1,0.15,7,0.0499999999999999,0.5282551126292674,0.9983968851344645,-0.0566008812104465,1
25,delta+0.15_seed001,1,0.15,8,0.0999999999999999,0.532348271473893,0.9953270674579832,-0.0965610106900897,1
25,delta+0.15_seed001,1,0.15,9,0.1499999999999999,0.5379565478506265,0.9928263226427044,-0.1195654342515618,1
25,delta+0.15_seed001,1,0.15,10,0.1999999999999999,0.5443912070331862,0.9913805758323394,-0.1310135636578873,1
25,delta+0.15_seed001,1,0.15,11,0.2499999999999999,0.5511718121852027,0.990893907838478,-0.1346449531493466,1
25,delta+0.15_seed001,1,0.15,12,0.3,0.5579794380319072,0.9908581518334492,-0.134907831296784,1
26,delta+0.15_seed002,2,0.15,0,-0.3,0.5626151123869931,0.9877749292950048,0.1558867828144798,1
26,delta+0.15_seed002,2,0.15,1,-0.25,0.5547243075998267,0.9877023743500124,0.1563458336616233,1
26,delta+0.15_seed002,2,0.15,2,-0.2,0.5467858668853296,0.9881993037634992,0.1531735487652341,1
26,delta+0.15_seed002,2,0.15,3,-0.15,0.53922403875913,0.9902380892477112,0.1393862496914305,1
26,delta+0.15_seed002,2,0.15,4,-0.1,0.5327098329289583,0.9940076955490988,0.1093101147614918,1
26,delta+0.15_seed002,2,0.15,5,-0.05,0.5282271304604365,0.9981864553812412,0.0601980090487487,1
26,delta+0.15_seed002,2,0.15,6,0.0,0.5266790950117866,0.9999963674855998,0.0026953692892484,1
