rho,method,alpha,median_first_ipr,p10_first_ipr,p90_first_ipr,correct_rate
0.1,sparsemax,4.0,1.0,1.0,1.0,1.0
0.1,sparsemax,4.5,1.0,1.0,1.0,
0.1,sparsemax,5.0,1.0,1.0,1.0,
0.1,sparsemax,5.5,1.0,1.0,1.0,
0.1,sparsemax,6.0,1.0,1.0,1.0,1.0
0.1,sparsemax,6.5,1.0,1.0,1.0,
0.1,sparsemax,7.0,1.0,1.0,1.0,
0.1,sparsemax,7.5,1.0,1.0,1.0,
0.1,sparsemax,8.0,1.0,1.0,1.0,1.0
0.1,sparsemax,8.5,1.0,1.0,1.0,
0.1,sparsemax,9.0,1.0,1.0,1.0,
0.1,sparsemax,9.5,1.0,1.0,1.0,
0.1,sparsemax,10.0,1.0,1.0,1.0,
0.1,sparsemax,10.5,1.0,1.0,1.0,
0.1,sparsemax,11.0,1.0,1.0,1.0,
0.1,sparsemax,11.5,1.0,1.0,1.0,
0.1,sparsemax,12.0,1.0,1.0,1.0,1.0
0.1,sparsemax,13.0,1.0,1.0,1.0,
0.1,sparsemax,14.0,1.0,1.0,1.0,
0.1,sparsemax,15.0,1.0,1.0,1.0,
0.1,sparsemax,16.0,1.0,1.0,1.0,
0.1,sparsemax,17.0,1.0,1.0,1.0,
0.1,sparsemax,18.0,1.0,1.0,1.0,
0.1,sparsemax,19.0,1.0,1.0,1.0,
0.1,sparsemax,20.0,1.0,1.0,1.0,
0.1,sparsemax,21.0,1.0,1.0,1.0,
0.1,sparsemax,22.0,1.0,1.0,1.0,
0.1,sparsemax,23.0,1.0,1.0,1.0,
0.1,sparsemax,24.0,1.0,1.0,1.0,
0.1,sparsemax,26.0,1.0,1.0,1.0,
0.1,sparsemax,28.0,1.0,1.0,1.0,
0.1,sparsemax,30.0,1.0,1.0,1.0,
0.1,sparsemax,32.0,1.0,1.0,1.0,
0.1,sparsemax,36.0,1.0,1.0,1.0,
0.1,sparsemax,40.0,1.0,1.0,1.0,
0.1,sparsemax,48.0,1.0,1.0,1.0,
0.25,softmax,0.05,99.99746113645718,99.9972236542231,99.99777112271842,
0.25,softmax,0.1,99.98979063773896,99.98883992687524,99.99103368236572,
0.25,softmax,0.15,99.97691094962455,99.97476487223769,99.97970884086996,
0.25,softmax,0.2,99.9587388164494,99.95491192138623,99.96371414823291,
0.25,softmax,0.25,99.93519842873108,99.92919178749158,99.9429634014007,0.0
0.25,softmax,0.3,99.90625510721888,99.89751237115676,99.91736650125736,
0.25,softmax,0.35,99.87180160536826,99.85977866611056,99.88685265459323,
0.25,softmax,0.4,99.83175189695382,99.81589023266318,99.85132506333738,
0.25,softmax,0.45,99.78601580356982,99.76569417915283,99.81067987380203,
0.25,softmax,0.5,99.73449885620536,99.70911303856633,99.76481446630844,0.0
0.25,softmax,0.6,99.61372224375654,99.57634278074082,99.65699004507422,
0.25,softmax,0.7,99.46857528205688,99.41663916415047,99.52693899057984,
0.25,softmax,0.75,99.38657727202015,99.32629015143388,99.45327197824416,0.0
0.25,softmax,0.8,99.29813386583564,99.22866028379157,99.37367036531425,
0.25,softmax,0.9,99.10139244989475,99.01129041043056,99.19611082025988,
0.25,softmax,1.0,98.87599950324241,98.76343481828818,98.99310054529616,0.0
0.25,softmax,1.1,98.61940043442021,98.4838260445226,98.76338956215757,
0.25,softmax,1.2,98.33158965256096,98.17112694544979,98.50563448801392,
0.25,softmax,1.3,98.01104806017351,97.82393130758699,98.21839591843143,
0.25,softmax,1.4,97.65616980461039,97.44076548217757,97.89884302558207,
0.25,softmax,1.5,97.2652634533058,97.02009121747977,97.54544727756581,0.0
0.25,softmax,1.6,96.84073070672768,96.5603098755643,97.15685950798388,
0.25,softmax,1.7,96.38455672247768,96.05976823051131,96.7311252917198,
0.25,softmax,1.8,95.88964150495299,95.51676605168363,96.26619004666264,
0.25,softmax,1.9,95.3542007876138,94.92802409502949,95.75990527036492,
0.25,softmax,2.0,94.77278421341093,94.29260103311965,95.21003734442053,0.0
0.25,softmax,2.25,93.09749395314375,92.48805593240935,93.63726025287355,
