condition_index,condition_id,seed,delta,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
2,delta-0.30_seed002,2,-0.3,0.14999999999999997,0.4205675410485128,0.9705380083322408,0.24094807403772178,1
2,delta-0.30_seed002,2,-0.3,0.19999999999999996,0.4071339792717481,0.9631566648807227,0.2689409580109418,1
2,delta-0.30_seed002,2,-0.3,0.24999999999999994,0.39264467368775513,0.9596649651259064,0.2811461447537431,1
2,delta-0.30_seed002,2,-0.3,0.3,0.3778376982809277,0.9588390513936004,0.28395012506181494,1
3,delta-0.30_seed003,3,-0.3,-0.3,0.3925710391922621,0.975796855186941,-0.21867898254582216,1
3,delta-0.30_seed003,3,-0.3,-0.25,0.4037761881627375,0.9767451759185616,-0.21440350118367577,1
3,delta-0.30_seed003,3,-0.3,-0.2,0.41452185159141663,0.9792588573913097,-0.2026131541155867,1
3,delta-0.30_seed003,3,-0.3,-0.15,0.4244666473387042,0.9829700444050835,-0.18376586136240827,1
3,delta-0.30_seed003,3,-0.3,-0.1,0.43321681207453366,0.9881991476085513,-0.15317455619564502,1
3,delta-0.30_seed003,3,-0.3,-0.05000000000000002,0.4399670205748407,0.995488943766798,-0.09487762032252324,1
3,delta-0.30_seed003,3,-0.3,0.0,0.4427475678821793,0.9999999081499582,0.00042860246750510834,1
3,delta-0.30_seed003,3,-0.3,0.04999999999999999,0.4399241603241535,0.9952771652209053,0.0970740150083376,1
3,delta-0.30_seed003,3,-0.3,0.09999999999999998,0.4329941023752326,0.9878733077684319,0.15526212609215848,1
3,delta-0.30_seed003,3,-0.3,0.14999999999999997,0.4242073548521148,0.9835437274939004,0.1806702413442901,1
3,delta-0.30_seed003,3,-0.3,0.19999999999999996,0.41462478779430967,0.9813300073378861,0.19233152809205367,1
3,delta-0.30_seed003,3,-0.3,0.24999999999999994,0.40460828760114964,0.9800979390378293,0.19851455839257573,1
3,delta-0.30_seed003,3,-0.3,0.3,0.39437022439960856,0.9796734023741044,0.20059916420749713,1
4,delta-0.30_seed004,4,-0.3,-0.3,0.3807239037269028,0.9654561763535794,-0.26056548416996145,1
4,delta-0.30_seed004,4,-0.3,-0.25,0.39421832691004965,0.9657961879427681,-0.25930237822900415,1
4,delta-0.30_seed004,4,-0.3,-0.2,0.4075724646827439,0.967684977203602,-0.2521622194034313,1
4,delta-0.30_seed004,4,-0.3,-0.15,0.4202766232920112,0.9726069329833036,-0.2324559182142104,1
4,delta-0.30_seed004,4,-0.3,-0.1,0.43147275886440184,0.9817358459338881,-0.19024912301630445,1
4,delta-0.30_seed004,4,-0.3,-0.05000000000000002,0.4396554739068961,0.9937038985454969,-0.11203821676321281,1
4,delta-0.30_seed004,4,-0.3,0.0,0.4427475678821793,0.9999985768210893,-0.0016871146362939628,1
4,delta-0.30_seed004,4,-0.3,0.04999999999999999,0.4398241856106324,0.9949086492049249,0.10078085005213909,1
4,delta-0.30_seed004,4,-0.3,0.09999999999999998,0.4326179092313396,0.9865934168299869,0.16319751795824505,1
4,delta-0.30_seed004,4,-0.3,0.14999999999999997,0.42328266859112773,0.9813113020963515,0.19242694296268154,1
4,delta-0.30_seed004,4,-0.3,0.19999999999999996,0.4130087451922009,0.9790311820611082,0.20371044291353663,1
4,delta-0.30_seed004,4,-0.3,0.24999999999999994,0.4024753187695751,0.9791124612469256,0.20331942413598292,1
4,delta-0.30_seed004,4,-0.3,0.3,0.3922430586972041,0.9796957419920308,0.2004900324771384,1
5,delta-0.30_seed005,5,-0.3,-0.3,0.37060290346562397,0.9494319386923125,-0.31397291888148104,1
5,delta-0.30_seed005,5,-0.3,-0.25,0.38713768105662894,0.9508623767491357,-0.3096138570590548,1
5,delta-0.30_seed005,5,-0.3,-0.2,0.40316427771176677,0.9554970042430149,-0.2950008048847054,1
5,delta-0.30_seed005,5,-0.3,-0.15,0.4180117501091445,0.964245711198785,-0.2650098270531671,1
5,delta-0.30_seed005,5,-0.3,-0.1,0.4306479184451746,0.9776661890063425,-0.21016380010319163,1
5,delta-0.30_seed005,5,-0.3,-0.05000000000000002,0.4395082284027012,0.9927593312499589,-0.12012039883439639,1
5,delta-0.30_seed005,5,-0.3,0.0,0.4427475678821793,0.9999982710869231,-0.0018595222946863291,1
5,delta-0.30_seed005,5,-0.3,0.04999999999999999,0.43969418095366564,0.9941812405870016,0.10772028994061661,1
5,delta-0.30_seed005,5,-0.3,0.09999999999999998,0.43191249218943994,0.9835770779519114,0.18048859168263184,1
5,delta-0.30_seed005,5,-0.3,0.14999999999999997,0.42134395749599207,0.9750900193694505,0.2218094996299414,1
