cue_index,memory_seed,target,rho,mask_index,level,target_ipr,softmax_alpha,sparsemax_alpha,softmax_achieved_ipr,sparsemax_achieved_ipr,pair_relative_error,pair_status,included
94,3,93,0.4,0,high,64.0,8.87895197998154,0.11280916160403588,64.0,63.99999999999996,6.661338147750941e-16,matched,True
95,3,97,0.4,0,low,4.0,40.84810474377798,4.354648431614539,4.0,4.0,0.0,matched,True
95,3,97,0.4,0,middle,16.0,18.457891851139735,0.7103514704452518,16.000000000000004,16.000000000000014,6.661338147750936e-16,matched,True
95,3,97,0.4,0,high,64.0,7.362882564353399,0.08820747931900641,64.00000000000001,64.0,2.220446049250313e-16,matched,True
0,4,3,0.1,0,low,4.0,5.901354538398362,0.6579762908250872,4.000000000000001,3.9999999999999973,8.881784197001254e-16,matched,True
0,4,3,0.1,0,middle,16.0,4.373126658472852,0.25842717537945803,16.000000000000007,16.0,4.440892098500625e-16,matched,True
0,4,3,0.1,0,high,64.0,2.7515135989906305,0.06490593596052197,64.0,63.9999999999999,1.5543122344752203e-15,matched,True
1,4,5,0.1,0,low,4.0,6.070100050297457,0.6892886882284914,4.000000000000001,4.0,2.220446049250313e-16,matched,True
1,4,5,0.1,0,middle,16.0,4.488130033346705,0.2540422033922104,16.000000000000004,16.00000000000002,1.1102230246251556e-15,matched,True
1,4,5,0.1,0,high,64.0,2.8105848197434486,0.06470257081533237,63.999999999999986,64.00000000000001,4.440892098500626e-16,matched,True
2,4,6,0.1,0,low,4.0,5.850029367413516,0.6505083148016166,3.999999999999999,4.0,2.2204460492503136e-16,matched,True
2,4,6,0.1,0,middle,16.0,4.339349473466408,0.2575543601208845,15.999999999999996,16.00000000000003,1.99840144432528e-15,matched,True
2,4,6,0.1,0,high,64.0,2.73717126487774,0.0657913127950458,64.00000000000001,64.0000000000001,1.3322676295501867e-15,matched,True
3,4,10,0.1,0,low,4.0,5.907190552022486,0.6712184854318436,3.999999999999999,4.000000000000002,6.661338147750939e-16,matched,True
3,4,10,0.1,0,middle,16.0,4.37097452359433,0.2535408444692546,16.000000000000004,15.999999999999979,1.55431223447522e-15,matched,True
3,4,10,0.1,0,high,64.0,2.7396439859334523,0.06323574395479636,64.0,64.00000000000007,1.1102230246251561e-15,matched,True
4,4,12,0.1,0,low,4.0,5.879953177598211,0.6751650427004218,4.000000000000001,4.000000000000001,0.0,matched,True
4,4,12,0.1,0,middle,16.0,4.350011573466874,0.2469944242160702,15.999999999999996,15.999999999999975,1.332267629550189e-15,matched,True
4,4,12,0.1,0,high,64.0,2.727062308204813,0.06277331957621302,64.0,64.0,0.0,matched,True
5,4,14,0.1,0,low,4.0,5.891734626798924,0.649330828078542,4.000000000000001,4.000000000000005,1.1102230246251556e-15,matched,True
5,4,14,0.1,0,middle,16.0,4.361303312153289,0.2572776763714719,16.00000000000001,16.000000000000046,2.220446049250309e-15,matched,True
5,4,14,0.1,0,high,64.0,2.737126968721485,0.06342143619311226,64.00000000000001,64.00000000000004,4.440892098500624e-16,matched,True
6,4,21,0.1,0,low,4.0,5.93623245165214,0.6513603649410307,4.000000000000001,3.999999999999999,4.440892098500626e-16,matched,True
6,4,21,0.1,0,middle,16.0,4.393291065420645,0.25194231806451883,15.999999999999993,15.999999999999979,8.88178419700126e-16,matched,True
